Name,Description,Weight_kg,Batch,BestBefore,Origin,SKU
Organic Honey,Pure wildflower honey,0.45,BH-2026-001,2027-06-15,New Zealand,HON-001
Smoked Paprika,Ground Spanish paprika,0.12,SP-2026-044,2028-01-20,Spain,SPC-002
Truffle Oil,Extra virgin with black truffle,0.25,TO-2026-112,2027-09-30,Italy,OIL-003
Matcha Powder,Ceremonial grade green tea,0.08,MP-2026-008,2027-03-10,Japan,TEA-004
Cashew Butter,Roasted unsalted cashews,0.35,CB-2026-067,2027-08-22,Vietnam,NUT-005
Dark Chocolate 85%,Single origin cacao bar,0.10,DC-2026-203,2027-12-01,Ecuador,CHO-006
Himalayan Pink Salt,Fine ground crystal salt,0.50,HS-2026-019,2030-01-01,Pakistan,SAL-007
Coconut Flour,Organic finely milled,0.40,CF-2026-055,2027-11-18,Philippines,FLR-008
Tahini Paste,Stone ground sesame,0.30,TP-2026-031,2027-07-25,Lebanon,PAS-009
Mango Chutney,Sweet and spicy preserve,0.28,MC-2026-140,2027-10-05,India,CHU-010
Arborio Rice,Premium Italian risotto rice,1.00,AR-2026-077,2028-04-15,Italy,RIC-011
Vanilla Extract,Pure Madagascar bourbon,0.06,VE-2026-005,2028-06-30,Madagascar,EXT-012
Sriracha Sauce,Fermented chili garlic,0.48,SS-2026-299,2027-09-12,Thailand,SAU-013
Quinoa Grain,Tri-color organic blend,0.75,QG-2026-042,2028-02-28,Peru,GRA-014
Almond Milk,Barista blend unsweetened,1.00,AM-2026-188,2026-08-10,Australia,MLK-015
Pesto Genovese,Fresh basil pine nut,0.19,PG-2026-066,2026-07-20,Italy,PES-016
Dried Cranberries,Sweetened whole fruit,0.22,DC-2026-101,2027-12-15,USA,FRT-017
Dijon Mustard,Traditional stone ground,0.21,DM-2026-034,2028-03-01,France,MUS-018
Black Bean Paste,Fermented soybean,0.50,BB-2026-078,2027-11-30,South Korea,PAS-019
Chia Seeds,Raw organic superfood,0.30,CS-2026-015,2028-05-22,Mexico,SED-020
Oat Granola,Maple pecan clusters,0.45,OG-2026-124,2027-04-18,Canada,CER-021
Balsamic Vinegar,Aged Modena reserve,0.25,BV-2026-009,2029-01-01,Italy,VIN-022
Turmeric Powder,Ground organic root,0.15,TU-2026-063,2028-07-10,India,SPC-023
Peanut Brittle,Handmade crunchy candy,0.20,PB-2026-047,2027-06-30,USA,CNF-024
Miso Paste White,Fermented rice soybean,0.40,WM-2026-022,2027-08-15,Japan,PAS-025
Olive Tapenade,Kalamata herb spread,0.18,OT-2026-085,2027-05-20,Greece,SPR-026
Flax Seed Oil,Cold pressed organic,0.25,FO-2026-011,2027-03-28,Canada,OIL-027
Dried Apricots,Turkish sun dried,0.35,DA-2026-058,2027-10-10,Turkey,FRT-028
Harissa Paste,Smoky chili pepper blend,0.22,HP-2026-039,2027-09-25,Tunisia,PAS-029
Macadamia Nuts,Dry roasted salted,0.28,MN-2026-096,2027-07-12,Hawaii,NUT-030
Saffron Threads,Premium grade A,0.01,SF-2026-002,2028-12-31,Iran,SPC-031
Maple Syrup,Grade A dark robust,0.37,MS-2026-073,2028-03-15,Canada,SYR-032
Wasabi Paste,Real wasabia japonica,0.04,WP-2026-006,2027-04-30,Japan,PAS-033
Pomegranate Molasses,Tart cooking reduction,0.33,PM-2026-041,2028-01-10,Lebanon,SAU-034
Hemp Hearts,Shelled hemp seeds,0.45,HH-2026-029,2027-11-05,Canada,SED-035
Goji Berries,Dried Tibetan organic,0.18,GB-2026-014,2028-02-14,China,FRT-036
Fish Sauce,Premium anchovy extract,0.30,FS-2026-167,2028-08-20,Vietnam,SAU-037
Spirulina Powder,Blue green algae,0.10,SP-2026-003,2027-06-28,USA,SUP-038
Rose Water,Distilled Damascus rose,0.25,RW-2026-021,2028-10-15,Morocco,FLV-039
Kimchi Paste,Traditional gochugaru base,0.45,KP-2026-052,2027-05-08,South Korea,PAS-040
